Edad,Genero,Rol,Industria,Años_Expe,Ubicacion,Hrs_semana,Balance_vida_trabajo,Nivel_estres,Salud_Mental,Recurso_SaludM,Cambio_en_productividad,Calificación_aislamientoS,Satisfacción_trabajo,Apoyo_de_empresa,Calidad_del_sueño,Region
50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,4,Medium,Burnout,No,No Change,1.0,Satisfied,2,Poor,Oceania
36,Male,Data Scientist,Retail,4,Remote,22,5,High,Burnout,No,No Change,1.0,Neutral,3,Good,Asia
34,Female,Project Manager,Education,29,Hybrid,29,3,High,Anxiety,Yes,Increase,5.0,Unsatisfied,5,Average,Africa
49,Male,HR,Retail,30,Remote,34,5,Low,Burnout,No,Decrease,5.0,Unsatisfied,1,Good,Africa
45,Female,Marketing,Retail,10,Remote,30,1,Low,Depression,Yes,Increase,1.0,Satisfied,5,Poor,Europe
45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,2,Low,Anxiety,Yes,Decrease,1.0,Neutral,5,Poor,Europe
29,Male,Marketing,Education,35,Onsite,27,3,High,Anxiety,Yes,No Change,3.0,Unsatisfied,3,Good,South America
34,Prefer not to say,Project Manager,Finance,5,Onsite,44,3,Medium,Burnout,No,Increase,5.0,Satisfied,3,Good,North America
38,Female,Data Scientist,Manufacturing,1,Remote,22,2,Medium,Burnout,Yes,Increase,5.0,Satisfied,3,Average,Oceania
45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,2,High,Anxiety,No,Decrease,2.0,Neutral,5,Average,South America
43,Non-binary,Marketing,Retail,18,Hybrid,39,5,High,Depression,Yes,No Change,2.0,Unsatisfied,3,Good,Europe
50,Male,Software Engineer,Healthcare,35,Onsite,30,2,High,Anxiety,Yes,No Change,3.0,Unsatisfied,1,Good,Africa
58,Prefer not to say,Sales,Consulting,14,Onsite,59,2,Low,Anxiety,Yes,Increase,1.0,Satisfied,5,Average,North America
42,Non-binary,HR,Manufacturing,27,Remote,26,2,High,Depression,Yes,No Change,1.0,Unsatisfied,4,Average,South America
53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,3,Low,Burnout,No,Increase,5.0,Unsatisfied,4,Average,South America
53,Female,Project Manager,Finance,21,Remote,34,5,High,Anxiety,Yes,Decrease,2.0,Unsatisfied,2,Average,Europe
27,Female,Designer,Retail,15,Onsite,46,4,Medium,Burnout,No,No Change,2.0,Unsatisfied,3,Poor,Europe
22,Female,Sales,Retail,21,Hybrid,35,3,Low,Anxiety,Yes,Decrease,5.0,Unsatisfied,3,Average,Oceania
32,Female,Designer,Education,16,Remote,23,1,Medium,Anxiety,No,No Change,5.0,Neutral,3,Good,Africa
32,Female,Marketing,Manufacturing,26,Remote,28,5,Low,Burnout,Yes,Increase,2.0,Unsatisfied,4,Average,Africa
60,Male,Marketing,Finance,2,Hybrid,39,4,Medium,Anxiety,No,Increase,5.0,Unsatisfied,2,Poor,Oceania
53,Non-binary,Marketing,IT,17,Remote,46,5,Medium,Burnout,No,Increase,4.0,Unsatisfied,5,Good,Oceania
48,Non-binary,Sales,IT,10,Remote,32,4,Medium,Anxiety,Yes,No Change,5.0,Satisfied,5,Poor,Oceania
57,Non-binary,Project Manager,Education,34,Remote,30,3,High,Anxiety,No,Increase,3.0,Unsatisfied,5,Poor,North America
49,Male,Project Manager,Education,11,Hybrid,48,5,Low,Anxiety,Yes,Decrease,5.0,Satisfied,1,Average,Asia
32,Non-binary,Project Manager,Education,12,Onsite,44,1,High,Anxiety,Yes,Decrease,1.0,Satisfied,5,Poor,Africa
49,Female,Project Manager,Healthcare,29,Hybrid,49,5,Low,Burnout,Yes,Decrease,5.0,Neutral,4,Poor,Asia
23,Female,Designer,Manufacturing,11,Hybrid,23,5,High,Anxiety,No,No Change,2.0,Unsatisfied,1,Poor,Europe
55,Prefer not to say,Designer,Finance,3,Onsite,33,5,Low,Burnout,No,No Change,4.0,Satisfied,2,Good,North America
36,Male,Project Manager,Healthcare,17,Hybrid,39,2,Low,Depression,No,Increase,4.0,Neutral,3,Average,Africa
45,Male,Designer,Finance,14,Remote,44,1,Low,Anxiety,Yes,No Change,1.0,Unsatisfied,5,Average,North America
41,Female,Software Engineer,Consulting,34,Remote,32,3,High,Anxiety,Yes,Decrease,2.0,Unsatisfied,3,Average,Oceania
57,Female,Designer,Consulting,20,Remote,31,4,Low,Burnout,No,No Change,3.0,Satisfied,4,Good,Oceania
30,Male,Software Engineer,Healthcare,29,Hybrid,58,1,Medium,Burnout,No,Increase,2.0,Unsatisfied,2,Poor,Africa
23,Female,Data Scientist,Consulting,31,Remote,26,1,Medium,Depression,Yes,No Change,2.0,Unsatisfied,3,Poor,Asia
47,Female,Project Manager,Healthcare,31,Onsite,20,1,Low,Anxiety,No,Decrease,4.0,Neutral,1,Good,North America
53,Male,Designer,Retail,6,Onsite,50,3,Low,Anxiety,Yes,Increase,1.0,Unsatisfied,3,Average,South America
35,Female,Marketing,IT,34,Hybrid,37,4,Medium,Anxiety,No,Decrease,2.0,Satisfied,1,Average,Africa
40,Female,Data Scientist,Education,24,Hybrid,38,3,High,Anxiety,Yes,No Change,4.0,Neutral,1,Average,Africa
29,Prefer not to say,Designer,Consulting,3,Hybrid,55,1,High,Depression,No,Increase,1.0,Unsatisfied,2,Poor,South America
24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,53,1,Medium,Anxiety,No,Increase,2.0,Neutral,1,Good,Africa
48,Non-binary,Software Engineer,Retail,35,Onsite,30,2,Low,Depression,Yes,No Change,3.0,Unsatisfied,2,Average,Africa
60,Non-binary,Software Engineer,Retail,27,Remote,50,2,High,Anxiety,No,No Change,3.0,Satisfied,3,Poor,Asia
50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,39,1,Low,Anxiety,Yes,Increase,5.0,Satisfied,3,Poor,Europe
38,Male,Designer,Retail,19,Remote,23,1,Low,Anxiety,No,Decrease,4.0,Neutral,3,Poor,North America
36,Male,Data Scientist,Retail,33,Onsite,45,4,Medium,Depression,No,Decrease,3.0,Unsatisfied,4,Good,Europe
35,Non-binary,Software Engineer,Finance,11,Remote,25,1,Medium,Burnout,No,No Change,4.0,Satisfied,3,Good,South America
25,Prefer not to say,Designer,Manufacturing,17,Remote,36,2,High,Anxiety,Yes,Increase,1.0,Neutral,4,Good,North America
34,Non-binary,HR,Education,10,Onsite,60,2,Low,Anxiety,Yes,Decrease,3.0,Unsatisfied,5,Good,Europe
32,Prefer not to say,Project Manager,Healthcare,12,Remote,35,3,Low,Anxiety,No,No Change,2.0,Satisfied,4,Average,Europe
58,Prefer not to say,Marketing,Manufacturing,17,Hybrid,55,3,Medium,Depression,No,No Change,5.0,Satisfied,4,Good,North America
40,Female,Project Manager,Finance,31,Onsite,47,1,Medium,Anxiety,No,Decrease,3.0,Neutral,2,Good,Europe
56,Female,HR,Healthcare,32,Hybrid,57,4,High,Anxiety,No,Increase,4.0,Satisfied,4,Good,South America
44,Non-binary,HR,Education,17,Hybrid,22,2,Medium,Anxiety,Yes,Decrease,3.0,Unsatisfied,1,Good,South America
49,Non-binary,Marketing,Consulting,29,Remote,45,5,Low,Anxiety,Yes,Decrease,4.0,Unsatisfied,4,Good,South America
26,Male,Designer,Healthcare,21,Onsite,56,2,Low,Burnout,Yes,Increase,4.0,Satisfied,1,Average,Europe
52,Male,Data Scientist,IT,22,Onsite,46,3,High,Depression,No,No Change,3.0,Neutral,2,Good,Africa
24,Prefer not to say,HR,Manufacturing,13,Hybrid,60,5,Medium,Depression,No,Decrease,1.0,Neutral,2,Good,Europe
40,Non-binary,Designer,Consulting,12,Remote,32,1,Medium,Depression,No,No Change,1.0,Unsatisfied,1,Good,Asia
57,Male,HR,Manufacturing,11,Hybrid,59,5,Medium,Anxiety,Yes,Decrease,2.0,Unsatisfied,4,Average,Oceania
23,Prefer not to say,Software Engineer,Consulting,17,Onsite,60,5,High,Anxiety,No,No Change,2.0,Neutral,5,Good,Oceania
40,Prefer not to say,Project Manager,IT,35,Hybrid,43,5,High,Burnout,No,No Change,2.0,Unsatisfied,3,Average,Oceania
45,Male,Data Scientist,Education,15,Remote,33,1,Low,Burnout,Yes,No Change,2.0,Satisfied,2,Poor,North America
46,Female,Data Scientist,Finance,11,Hybrid,20,3,Low,Anxiety,No,Decrease,5.0,Satisfied,3,Average,Europe
37,Female,Software Engineer,Retail,16,Hybrid,27,1,Medium,Anxiety,Yes,No Change,4.0,Unsatisfied,3,Poor,North America
53,Female,Software Engineer,Healthcare,4,Onsite,43,5,Medium,Depression,No,No Change,4.0,Unsatisfied,2,Average,South America
53,Male,Data Scientist,Education,22,Onsite,29,1,Medium,Burnout,No,No Change,4.0,Neutral,4,Good,Africa
39,Male,Sales,Education,7,Remote,47,2,Medium,Anxiety,No,Decrease,5.0,Neutral,4,Poor,North America
56,Female,Designer,Healthcare,28,Onsite,46,1,Low,Anxiety,Yes,Increase,3.0,Neutral,5,Good,Oceania
59,Non-binary,Marketing,Manufacturing,13,Hybrid,40,1,Low,Anxiety,Yes,Decrease,1.0,Unsatisfied,4,Average,South America
36,Female,Data Scientist,Finance,3,Remote,53,2,High,Burnout,No,Decrease,2.0,Unsatisfied,2,Average,South America
45,Non-binary,Sales,Education,3,Hybrid,55,4,High,Burnout,No,Increase,4.0,Unsatisfied,1,Average,Oceania
53,Male,Sales,Retail,2,Remote,40,2,Medium,Anxiety,No,Decrease,2.0,Unsatisfied,3,Good,Asia
55,Female,Project Manager,IT,32,Remote,28,5,Low,Depression,No,Decrease,2.0,Satisfied,1,Poor,Asia
58,Male,Sales,Retail,18,Hybrid,39,3,Low,Burnout,No,No Change,3.0,Neutral,1,Good,South America
51,Prefer not to say,Software Engineer,Retail,14,Onsite,41,5,Medium,Burnout,No,No Change,4.0,Unsatisfied,2,Good,Asia
52,Male,Data Scientist,Finance,5,Onsite,39,5,Low,Burnout,Yes,Increase,4.0,Satisfied,5,Poor,Oceania
54,Non-binary,Project Manager,IT,12,Onsite,34,3,Low,Burnout,Yes,No Change,2.0,Unsatisfied,5,Good,Africa
35,Male,Designer,Retail,2,Remote,36,3,Low,Burnout,No,Decrease,5.0,Unsatisfied,2,Good,Europe
39,Male,Marketing,Manufacturing,19,Remote,32,4,High,Anxiety,Yes,Decrease,1.0,Satisfied,3,Average,North America
47,Prefer not to say,Sales,Consulting,7,Hybrid,21,2,Medium,Anxiety,No,No Change,3.0,Unsatisfied,5,Average,Africa
53,Male,Project Manager,Manufacturing,31,Onsite,56,5,High,Anxiety,Yes,No Change,1.0,Satisfied,4,Poor,Oceania
60,Prefer not to say,Marketing,Manufacturing,33,Onsite,58,4,Low,Burnout,No,No Change,2.0,Satisfied,4,Poor,North America
47,Female,Software Engineer,Manufacturing,11,Onsite,35,1,High,Anxiety,No,No Change,2.0,Satisfied,3,Good,Oceania
27,Prefer not to say,Project Manager,Healthcare,22,Remote,52,1,Low,Anxiety,Yes,Decrease,4.0,Satisfied,3,Good,Europe
53,Prefer not to say,Marketing,Consulting,30,Remote,33,1,Low,Depression,No,Increase,2.0,Neutral,4,Average,South America
30,Male,HR,Education,11,Onsite,56,3,Medium,Depression,No,Increase,4.0,Satisfied,4,Poor,Oceania
38,Prefer not to say,Data Scientist,Education,35,Onsite,33,2,Low,Anxiety,Yes,Increase,2.0,Neutral,2,Average,Europe
56,Female,HR,Education,5,Remote,60,3,Low,Anxiety,No,No Change,1.0,Unsatisfied,4,Average,Asia
42,Prefer not to say,Project Manager,Retail,18,Hybrid,48,5,Medium,Anxiety,No,Decrease,1.0,Satisfied,5,Good,Oceania
33,Male,Software Engineer,Consulting,6,Onsite,23,3,High,Anxiety,Yes,No Change,5.0,Unsatisfied,2,Good,Asia
28,Male,Project Manager,Retail,29,Hybrid,38,3,High,Anxiety,Yes,Decrease,4.0,Satisfied,1,Average,Africa
50,Non-binary,Designer,Manufacturing,17,Remote,30,1,Low,Anxiety,No,Increase,2.0,Unsatisfied,2,Average,North America
44,Male,Software Engineer,Retail,4,Onsite,35,1,Low,Anxiety,Yes,Decrease,3.0,Neutral,1,Good,Africa
23,Male,Project Manager,IT,8,Onsite,28,2,Medium,Depression,Yes,Increase,3.0,Satisfied,3,Poor,Asia
30,Female,Marketing,Consulting,32,Onsite,57,3,Medium,Burnout,No,Decrease,3.0,Neutral,5,Good,Oceania
42,Female,HR,Manufacturing,10,Hybrid,39,2,Low,Anxiety,Yes,Decrease,3.0,Satisfied,1,Good,Europe
52,Male,Marketing,Retail,7,Onsite,45,1,Medium,Burnout,No,No Change,5.0,Unsatisfied,4,Average,Africa
37,Male,Marketing,Healthcare,29,Onsite,34,4,Low,Burnout,No,Decrease,3.0,Satisfied,2,Good,Oceania
28,Prefer not to say,Marketing,Manufacturing,19,Hybrid,59,5,Low,Burnout,No,Decrease,1.0,Unsatisfied,2,Poor,Africa
31,Prefer not to say,Software Engineer,Consulting,18,Remote,31,3,High,Anxiety,Yes,Increase,3.0,Neutral,2,Average,Asia
23,Prefer not to say,Marketing,Retail,9,Onsite,55,4,Low,Burnout,No,No Change,2.0,Neutral,5,Poor,Africa
37,Male,Data Scientist,Finance,18,Remote,23,2,Low,Burnout,No,Decrease,4.0,Unsatisfied,4,Average,Oceania
25,Male,HR,Healthcare,33,Hybrid,51,1,Medium,Depression,No,Decrease,2.0,Neutral,1,Average,Europe
55,Female,Software Engineer,Manufacturing,13,Remote,32,5,Medium,Depression,Yes,No Change,1.0,Satisfied,4,Average,Europe
53,Non-binary,Marketing,IT,17,Remote,41,5,Low,Depression,Yes,Increase,4.0,Neutral,1,Good,North America
51,Prefer not to say,Software Engineer,Manufacturing,24,Hybrid,46,1,Low,Anxiety,No,No Change,1.0,Unsatisfied,1,Good,South America
22,Non-binary,Sales,Manufacturing,2,Onsite,59,2,High,Burnout,Yes,Increase,2.0,Satisfied,3,Poor,North America
34,Non-binary,Project Manager,Education,10,Remote,40,1,Medium,Depression,No,Decrease,5.0,Unsatisfied,4,Good,Oceania
53,Prefer not to say,Project Manager,Retail,32,Remote,56,2,High,Burnout,No,Decrease,1.0,Neutral,1,Good,Europe
53,Female,Project Manager,IT,25,Hybrid,38,2,Low,Anxiety,Yes,Increase,2.0,Satisfied,3,Good,South America
38,Male,Data Scientist,Healthcare,25,Remote,59,5,Low,Anxiety,No,Increase,3.0,Neutral,1,Average,South America
32,Male,Project Manager,Manufacturing,17,Remote,39,1,Medium,Anxiety,Yes,Increase,2.0,Unsatisfied,4,Poor,Oceania
38,Non-binary,Project Manager,Manufacturing,26,Remote,50,1,High,Anxiety,Yes,Increase,2.0,Satisfied,2,Good,South America
32,Male,Project Manager,Education,21,Hybrid,32,2,High,Depression,Yes,No Change,3.0,Unsatisfied,1,Good,Oceania
43,Prefer not to say,Sales,IT,21,Hybrid,23,3,Low,Anxiety,Yes,Increase,3.0,Neutral,3,Average,Oceania
46,Prefer not to say,Project Manager,Retail,25,Remote,22,3,Medium,Anxiety,No,Increase,3.0,Unsatisfied,3,Average,Africa
42,Male,Data Scientist,Education,4,Hybrid,33,5,Medium,Burnout,Yes,Decrease,2.0,Neutral,2,Good,Africa
27,Male,Project Manager,Education,25,Hybrid,32,3,Medium,Burnout,Yes,Decrease,5.0,Unsatisfied,5,Average,Oceania
54,Prefer not to say,Marketing,Retail,10,Onsite,51,1,Medium,Anxiety,No,Increase,2.0,Unsatisfied,2,Average,Europe
43,Male,Designer,Healthcare,34,Hybrid,49,3,Medium,Burnout,No,Decrease,3.0,Satisfied,3,Good,Oceania
53,Non-binary,Software Engineer,Education,11,Remote,25,2,Medium,Burnout,Yes,Increase,2.0,Neutral,5,Average,Asia
57,Non-binary,Software Engineer,Manufacturing,3,Onsite,40,4,High,Anxiety,No,Increase,2.0,Neutral,3,Poor,North America
